site,county,District,name,view
好房網,澎湖縣,湖西鄉,澎湖縣湖西鄉,24507
好房網,澎湖縣,望安鄉,澎湖縣望安鄉,45868
好房網,澎湖縣,馬公市,澎湖縣馬公市,9039
好房網,澎湖縣,西嶼鄉,澎湖縣西嶼鄉,51293
好房網,澎湖縣,白沙鄉,澎湖縣白沙鄉,28911
好房網,澎湖縣,七美鄉,澎湖縣七美鄉,47605
好房網,臺南市,鹽水區,臺南市鹽水區,30612
好房網,臺南市,關廟區,臺南市關廟區,9022
好房網,臺南市,歸仁區,臺南市歸仁區,46875
好房網,臺南市,龍崎區,臺南市龍崎區,57928
好房網,臺南市,學甲區,臺南市學甲區,29523
好房網,臺南市,臺南市,臺南市臺南市,34786
好房網,臺南市,楠西區,臺南市楠西區,17588
好房網,臺南市,新營區,臺南市新營區,25886
好房網,臺南市,新市區,臺南市新市區,45594
好房網,臺南市,新化區,臺南市新化區,3605
好房網,臺南市,善化區,臺南市善化區,51490
好房網,臺南市,麻豆區,臺南市麻豆區,46866
好房網,臺南市,將軍區,臺南市將軍區,10335
好房網,臺南市,柳營區,臺南市柳營區,45458
好房網,臺南市,後壁區,臺南市後壁區,31615
好房網,臺南市,南區,臺南市南區,37171
好房網,臺南市,南化區,臺南市南化區,18089
好房網,臺南市,東區,臺南市東區,38314
好房網,臺南市,東山區,臺南市東山區,21045
好房網,臺南市,官田區,臺南市官田區,4197
好房網,臺南市,佳里區,臺南市佳里區,22853
好房網,臺南市,西港區,臺南市西港區,16396
好房網,臺南市,安南區,臺南市安南區,51572
好房網,臺南市,安定區,臺南市安定區,16005
好房網,臺南市,安平區,臺南市安平區,1689
好房網,臺南市,白河區,臺南市白河區,32782
好房網,臺南市,玉井區,臺南市玉井區,32165
好房網,臺南市,永康區,臺南市永康區,53702
好房網,臺南市,左鎮區,臺南市左鎮區,13793
好房網,臺南市,北區,臺南市北區,16138
好房網,臺南市,北門區,臺南市北門區,37109
好房網,臺南市,六甲區,臺南市六甲區,32511
好房網,臺南市,仁德區,臺南市仁德區,30565
好房網,臺南市,中西區,臺南市中西區,20874
好房網,臺南市,山上區,臺南市山上區,310
好房網,臺南市,大內區,臺南市大內區,5055
好房網,臺南市,下營區,臺南市下營區,55951
好房網,臺南市,七股區,臺南市七股區,46202
